# DELTA delay [\nano\second]    Impulse/10sekunden
-10    7
-9.5   12
-9     10
-8.5   16
-8     33
-7.5   38
-7     37
-6.5   48
-6     58
-5.5   63
-5     79
-4.5   72
-4     89
-3.5   79
-3     93
-2.5   96
