# DELTA delay [\nano\second]    Impulse/10sekunden

8            211   
8.5          163
9            148   
9.5          147
10           131   
10.5         133   
11           135   
11.5         105   
12           107   
12.5         103   
13           103   
13.5         93   
14           73   
14.4         72   
15           47   
16           47   
17           33   
18           10   
19           7   
