#filterindex    minimum    winkel[grad]    winkel[minute]      filter wellenlänge[micrometer]
1     1          251   0                 1.06
1     2          262   59                1.06
2     1          258   30                1.29       
2     2          251   2                 1.29       
3     1          259   09                1.45       
3     2          257   2                 1.45       
4     1          256   60                1.72       
4     2          250   4                 1.72       
5     1          245   4                 1.96       
5     2          251   4                 1.96       
6     1          250   25                2.156       
6     2          242   354               2.156       
7     1          220    3                2.34       
7     2          228    0                2.34       
8     1          214    14               2.51       
8     2          206    0                2.51       
9     1          245    01               2.65
9     2          237    18               2.65
